location[plate]	cellline	cellline[HMSLid]	treatmentfile	treatmentfile[DesignNumber]	untrt	location[well]	cellcount	Nuclei_LDR_NumberOfObjects	Nuclei_Hoechst_LDRpos_NumberOfObjects	readout[timestamp]	drug1[timestamp]	drug1	drug1[HMSLid]	drug1[conc]=uM	drug2[timestamp]	drug2	drug2[HMSLid]	drug2[conc]=uM	pert_type
MN20141030_B_01	BT20	HMSL50105	-	0	1	G03	1395	29	83	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G04	1676	25	88	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G05	1459	25	81	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G06	1589	25	88	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G07	1782	20	94	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G08	1874	15	81	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G09	1607	22	85	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G10	1598	20	87	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G11	1511	28	80	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G12	1718	21	95	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G13	1543	33	88	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G14	1615	21	92	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G15	1599	23	102	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G16	1684	20	81	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G17	1689	21	92	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G18	1675	20	79	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G19	1560	17	100	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G20	1497	33	83	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G21	1461	35	95	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G22	1467	19	76	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G23	1472	19	76	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	G24	1512	28	88	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	H01	1489	20	85	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	H02	1565	23	98	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	H03	1634	23	83	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	H04	1608	11	82	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	H05	1616	26	73	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	H06	1618	27	88	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	H07	1632	20	67	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	H08	1632	34	80	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	H09	1566	21	90	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	H10	1739	20	91	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	H11	1588	27	76	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	H12	1680	35	75	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	H13	1615	20	66	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	H14	1656	21	84	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	H15	1677	22	91	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
